aggregation_level,service_mode,reporting_group,measure_group,measure,category,weighted_percent,ObjectId
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Copley,Access Mode,Access to First MBTA Service,"Bike, Scooter or Other Micromobility",0.006924022,6425
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Alewife,Other Demographics,Ability to Understand English,Always,0.916700945,10047
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,North Station,Vehicles,Cars per Capita,1 or more,0.142738801,9595
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Ashmont,Other Demographics,Age,18 to 25,0.31290832,10429
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Arlington,Access Mode,Access to First MBTA Service,Walked,0.954136128,5613
Reporting Group,Commuter Rail,Lowell Line,Fares,Fare Product,Student Pass (M7),0.006916369,4302
Reporting Group,Bus,71,Other Demographics,Gender,Woman,0.491787747,1706
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Porter,Vehicles,Cars per Capita,1 or more,0.118993757,11893
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Chinatown,Vehicles,Usable Cars,0,0.436203954,8531
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Griggs Street to Warren Street,Vehicles,Usable Cars,1,0.257527224,6825
Reporting Group,Bus,43 & SL5,Income,Household Income,140% to 200% of Area Median Income,0.016115195,1600
Reporting Group,Bus,104,Vehicles,Usable Cars,1,0.415886067,48
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Forest Hills,Access Mode,Access to First MBTA Service,Taxi or Rideshare Company,0.044334273,9183
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Mattapan Trolley,All Mattapan Trolley,Trip Purpose and Frequency,Trip Purpose,Home-based Other,0.180935167,12750
Reporting Group,Bus,SL4,Trip Purpose and Frequency,Trip Purpose,Non-home Based,0.094554322,3222
Reporting Group,Commuter Rail,Needham Line,Alternative Modes,Alternative Mode,"Bike, Scooter, or Other Micromobility",0.011411333,4443
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Reservoir to Newton Highlands,Fares,Reduced Fares,Senior CharlieCard,0.013337816,7891
Reporting Group,Bus,61 & 70,Race and Ethnicity,Hispanic or Latino/Latina,No,0.722672055,1666
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Government Center,Trip Purpose and Frequency,Frequency,1 to 3 days per month,0.066337694,7114
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Maverick,Fares,Reduced Fares,Youth Pass,0.008255687,5246
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Hynes Convention Center,Trip Purpose and Frequency,Trip Purpose,Home-based Other,0.152184262,6930
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Wonderland,Alternative Modes,Alternative Mode,Different MBTA Service,0.192628481,5741
Reporting Group,Commuter Rail,Fairmount Line,Other Demographics,Gender,Man,0.479557216,3704
Reporting Group,Bus,71,Fares,Reduced Fares,Full Fare - Subsidized by Employer,0.115522526,1985
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,North Station,Fares,Fare Product,Pay-as-you-go,0.386951536,9231
Reporting Group,Commuter Rail,Fairmount Line,Alternative Modes,Alternative Mode,Private Shuttle or Other Transit,0.062127707,3890
Reporting Group,Commuter Rail,Middleborough/Lakeville Line,Other Demographics,Age,18 to 25,0.34014452,4732
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Wollaston,Race and Ethnicity,Race,Prefer not to say,0.010006683,12020
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,State,Race and Ethnicity,Title VI Minority,Yes,0.590234218,9759
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Harvard,Income,Household Income,Prefer not to say,0.124648624,10827
Reporting Group,Rapid Transit or Bus Rapid Transit - Silver Line BRT,SL3,Other Demographics,Age,35 to 44,0.216153018,12058
