Month,Year,daytype,All Bus,Blue Line,Bus,Commuter Rail,Ferry,Green Line,Heavy Rail,Light Rail,Mattapan Line,Orange Line,Private Bus,Red Line,Silver Line,The RIDE,Trackless Trolley
February,2021,Saturday,130856.0,16634.0,115321.0,3708.0,,35431.0,88776.0,35431.0,,33508.0,742.0,38634.0,12280.0,,2514.0
February,2021,Sunday,69510.0,12685.0,60715.0,2597.0,,26323.0,66472.0,26323.0,,24446.0,444.0,29342.0,8350.0,,
February,2021,Total,135074.0,19734.0,119717.0,9184.0,146.0,39028.0,111743.0,39028.0,,43380.0,1069.0,48629.0,11748.0,1726.0,2540.0
February,2021,Weekday,156874.0,22069.0,139364.0,12207.0,214.0,42853.0,127550.0,42853.0,,49960.0,1326.0,55522.0,12970.0,2103.0,3214.0
February,2022,Saturday,173799.0,26614.0,152153.0,15108.0,,78373.0,160115.0,78373.0,,60040.0,888.0,73462.0,17734.0,1451.0,3023.0
February,2022,Sunday,87884.0,18880.0,76252.0,11446.0,,55421.0,111592.0,55421.0,,40941.0,504.0,51772.0,11128.0,1076.0,
February,2022,Total,199890.0,31707.0,176574.0,34646.0,903.0,85508.0,206595.0,85508.0,,81133.0,1370.0,93755.0,18316.0,2394.0,3629.0
February,2022,Weekday,239483.0,35700.0,212130.0,44532.0,1252.0,94109.0,238907.0,94109.0,,95038.0,1726.0,108168.0,20916.0,2996.0,4712.0
February,2023,Saturday,178058.0,27900.0,157355.0,20884.0,,81093.0,133546.0,82600.0,1507.0,44563.0,1377.0,61084.0,19326.0,1555.0,
February,2023,Sunday,107305.0,24602.0,93185.0,15596.0,,70497.0,118963.0,71615.0,1118.0,39994.0,743.0,54368.0,13377.0,1470.0,
February,2023,Total,222709.0,37976.0,199717.0,60877.0,1806.0,104353.0,221925.0,107063.0,2710.0,81407.0,1687.0,102542.0,21305.0,2793.0,
February,2023,Weekday,268127.0,43162.0,241575.0,80625.0,2568.0,117587.0,265125.0,120928.0,3342.0,98958.0,2040.0,123005.0,24512.0,3478.0,
February,2024,Saturday,171654.0,32407.0,153592.0,37890.0,,61785.0,153992.0,61513.0,1519.0,61357.0,,60466.0,18062.0,1816.0,
February,2024,Sunday,119592.0,24674.0,103664.0,29479.0,,45835.0,115423.0,44876.0,1020.0,44336.0,,46675.0,15928.0,1573.0,
